BUG-ID,S2R Label,S2R Irrep Category,Reason,OB Category,OB Label,Reason,EB Category,EB Label,Reason,,
MC-301108 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301108 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301109 Improved,Non-Executable,Ambiguous Information,duplication not provided,Present,Sufficient,,Present,Accurate,,,
MC-301109 Raw,Non-Executable,Ambiguous Information,vague phrases so much item,Present,Insufficient,duplication not provided,Not Present,,,,
,,,,,,,,,,,
MC-301111 Improved,Executable,,Instructions for making a red mushroom are not explicitly stated. The steps include placing dirt down and putting the mushroom in a specific location.,Present,Sufficient,,Present,Inaccurate,Description was incorrect; it is not remedied by breaking the frames. This mechanical issue still exists in this EB as well.,Actionable,Invalid
MC-301111 Raw,Non-Executable,Missing Information,needs specification portal or portal frame ,Present,Insufficient,has ambuguity portal or portal frame,Present,Inaccurate,,,
,,,,,,,,,,,
MC-301117 Improved,Non-Executable,Wrong Information,Steps could not be applied due to the supporting issue in game mechanics ,Present,Sufficient,,Present,Inaccurate,no such mechanics exists,,
MC-301117 Raw,Non-Executable,Ambiguous Information,Messing with commands is a vague phrase,Present,Insufficient,"What does ""Apply upwards the head"" mean visually? What does ""Easter Egg applied"" mean",Not Present,,,,
,,,,,,,,,,,
MC-301122 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Invalid
MC-301122 Raw,Executable,,with title it is ok,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301125 Improved,Executable,,,Present,Insufficient,Which mode is missing. Y,Present,Accurate,Assuming that the survivor and creative Minecraft is ok. ,Actionable,Invalid
MC-301125 Raw,Non-Executable,Missing Information,Just OB written no consecutive steps can be understood.,Present,Insufficient,You can not mine a block in adventure. ,Not Present,,,,
,,,,,,,,,,,
MC-301128 Improved,Non-Executable,Ambiguous Information,"Without closing, the game is ambiguous. It should be without closing the world. Otherwise not make sense",Present,Sufficient,,Present,Accurate,,,
MC-301128 Raw,Executable,,concise and enough,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301131 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301131 Raw,Non-Executable,Missing Information,No steps for reproduction,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301132 Improved,Executable,,"Due to its position, it is an assumption, but okay otherwise.",Present,Sufficient,,Present,Accurate,,,
MC-301132 Raw,Non-Executable,Missing Information,Which item. Block positioning unclear. Also misisng how to generate this enviornment that you can not reach the block.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301135 Improved,Non-Executable,Missing Information,"There should be a step checking whether the iron golem plant is a poppy or a flower. The last steps. Iron Golems could drop the item of a flower on death as well, which is not addressed.",Present,Insufficient,It should also mention the iron golem will drop the flower on death. This ambiguity could be spesified.,Present,Accurate,,,
MC-301135 Raw,Non-Executable,Missing Information,This text does not include any description; it only contains a title. It is insufficient.,Not Present,,,Not Present,,,,
,,,,,,,,,,,
MC-301141 Improved,Non-Executable,Wrong Information,the steps are not align with the game mechanics,Present,Insufficient,LLM assumed this issue stems from only certain blocks,Present,Inaccurate,"Most transparent blocks (glass, ice, leaves) do NOT support carpet placement at all",,
MC-301141 Raw,Non-Executable,Ambiguous Information,"""does not occur everywhere"" those type of sentences",Present,Insufficient,"""does not occur everywhere"" those type of sentences",Not Present,,,,
,,,,,,,,,,,
MC-301151 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301151 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301157 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301157 Raw,Non-Executable,Missing Information,no steps to reproduce,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301159 Improved,Non-Executable,Wrong Information,Redstone torchs are always active,Present,Sufficient,,Present,Inaccurate,rails cannot change position,,
MC-301159 Raw,Non-Executable,Missing Information,no steps to reproduce,Present,Insufficient,"User only say ""check the video""",Not Present,,,,
,,,,,,,,,,,
MC-301170 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,Actionable,Invalid
MC-301170 Raw,Non-Executable,Missing Information,No step cluster can be distinguished; it is not obvious.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301171 Improved,Executable,,,Present,Sufficient,,Present,Inaccurate,You cannot interact with the chest while seated.,,
MC-301171 Raw,Executable,,,Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301173 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301173 Raw,Executable,,,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301176 Improved,Executable,,"Single player mode allows LAN access to see friends, but this is a minor step regarding the bug's overall aim.",Present,Sufficient,,Present,Accurate,,,
MC-301176 Raw,Non-Executable,,There are missing steps regarding how to change or obtain skins.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301183 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301183 Raw,Non-Executable,Missing Information,Missing step related to spawn a happy ghast and how to lead,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301184 Improved,Non-Executable,Missing Information,The instructions for creating a transparent wall piston are unclear.,Present,Sufficient,,Present,Accurate,,,
MC-301184 Raw,Non-Executable,Missing Information,"The location of the carpet cannot be clearly understood, specifically which part of the mechanism. Also How to create transparent wall piston is not clear.",Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301202 Improved,Non-Executable,Wrong Information,he user's bug is about the golem's interaction with a chest's inventory. The AI's S2R is about the golem's interaction with a dropped item entity,Present,Sufficient,,Present,Accurate,,,
MC-301202 Raw,Non-Executable,Missing Information,no steps,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301203 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301203 Raw,Non-Executable,Missing Information,"How change the skin, which type",Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301205 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301205 Raw,Non-Executable,Missing Information,How the computers changed is insuficent,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301221 Improved,Non-Executable,Wrong Information,in survival mode /summon command not active in default settings,Present,Sufficient,,Present,Accurate,,,
MC-301221 Raw,Non-Executable,Ambiguous Information,"vague phrases like some items, arent correctly rendered etc.",Present,Sufficient,,Present,Accurate,,,
,,,,,,,,,,,
MC-301222 Improved,Executable,,,Present,Sufficient,,Present,Accurate,,,
MC-301222 Raw,Non-Executable,Missing Information,Missing critical information.,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301234 Improved,Non-Executable,Wrong Information,"the command is not for rotation, for teleport",Present,Sufficient,,Present,Accurate,,,
MC-301234 Raw,Non-Executable,Ambiguous Information,how to rotate or use the ticking command,Present,Sufficient,,Not Present,,,,
,,,,,,,,,,,
MC-301252 Improved,Non-Executable,Wrong Information,Step 7 is impossible because a block of diamond can not display a sword.,Present,Insufficient,I cannot distinguish which item.,Present,Accurate,,,
MC-301252 Raw,Non-Executable,Missing Information,Missing critical information.,Present,Insufficient,which items,Present,Accurate,,,
